Category,Location,Investors
Consumer Internet,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors"
Consumer Internet,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office."
Technology,Coimbatore,Subhkam Ventures and Mohit Khadaria
Technology,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others"
Consumer Internet,Bengaluru,
Finance,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round"
Ed-Tech,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels"
Ed-Tech,Bangalore,"Accel Partners, Tiger Global And Others"
Fiinance,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim
Consumer Internet,Mumbai,Fireside Ventures
Technology,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others"
Ed-Tech,Delhi,
Finance,Bengaluru,Kae Capital Management
Consumer Internet,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others"
Healthcare,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate"
Finance,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow"
Finance,Mumbai,Lok Capital
Consumer Internet,Delhi,Mr. Manoj Prasad
Healthcare,Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh"
Consumer Internet,Mumbai,"International Finance Corporation, Transamerica and others."
Consumer Internet,Faridabad,TR Capital
Healthcare,Gurugram,Shilpa Shetty Kundra
Technology,Bengaluru,Pravega Ventures and Beenext
Technology,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment"
Healthcare,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy"
Healthcare,Mumbai,Vidal Healthcare
Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others"
Finance,Mumbai,
Finance,Bengaluru,Amazon
Consumer Internet,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia"
Technology,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media"
Consumer Internet,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners"
Consumer Internet,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd"
Consumer Internet,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital"
Consumer Internet,Mumbai,Bay Capital Investments and Others
Finance,Gurgaon,SAR Group
Consumer Internet,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG"
Consumer Internet,Noida,CBA Capital and others
E-Commerce,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital"
